fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,USD,898000000,,,,,107000000,66000000,-109000000.0,-254000000,,-722000000,-8000000,,,,,,,,,,,-10000000,,168000000.0,,555000000
2021-06-30,USD,952000000,,,,,110000000,64000000,159000000.0,-112000000,,119000000,-211000000,,,,,,,,,,,-260000000,,860000000.0,,710000000
2021-09-30,USD,849000000,,,,,112000000,85000000,-203000000.0,-138000000,,-83000000,-949000000,,,,,,,,,,,-953000000,,-183000000.0,,923000000
2021-12-31,USD,822000000,,,,,134000000,86000000,-487000000.0,-52000000,,3158000000,-727000000,,,,,,,,,,,-776000000,,95000000.0,,974000000
2022-03-31,USD,995000000,,,,,628000000,71000000,-673000000.0,-26000000,,3158000000,-1948000000,,,,,,,,,,,-1949000000,,2205000000.0,,786000000
2022-06-30,USD,1038000000,,,,,1201000000,132000000,-344000000.0,-248000000,,-928000000,114000000,,,,,,,,,,,-952000000,,224000000.0,,447000000
2022-09-30,USD,965000000,,,,,1188000000,123000000,-285000000.0,-723000000,,-1298000000,-1233000000,,,,,311000000.0,311000000.0,,,,,-922000000,,-1566000000.0,,66000000
2022-12-31,USD,567000000,,,,,1245000000,124000000,,-404000000,,1999000000,-197000000,,,,,,,,,,,-285000000,,,,21000000
2023-03-31,USD,486000000,,,,,1006000000,158000000,86000000.0,-464000000,,-1237000000,-259000000,,,,,,,,,,,-241000000,,-1010000000.0,,-139000000
2023-06-30,USD,379000000,,,,,873000000,125000000,-272000000.0,-332000000,,-1675000000,75000000,,,,,,,,,,,-66000000,,16000000.0,,27000000
2023-09-30,USD,421000000,,,,,848000000,124000000,,122000000,,-1573000000,-803000000,,,,,,,,,,,-511000000,,,,299000000
2023-12-31,USD,381000000,,,,,824000000,139000000,,94000000,,150000000,-159000000,,,,,,,,,,,-278000000,,,,667000000
2024-03-31,USD,521000000,,,,,810000000,142000000,,-368000000,,-135000000,-129000000,,,,,,,,,,,-133000000,,,,123000000
2024-06-30,USD,593000000,,,,,795000000,154000000,,-342000000,,386000000,-1056000000,,,,,,,,,,,-449000000,,,,265000000
2024-09-30,USD,628000000,,,,,786000000,132000000,,-386000000,,-138000000,-706000000,,,,,,,,,,,-710000000,,,,771000000
2024-12-31,USD,1299000000,,,,,786000000,208000000,,-362000000,,-1214000000,-171000000,,,,,,,,,,,-298000000,,,,482000000
2025-03-31,USD,939000000,,,,,742000000,212000000,,-682000000,,-357000000,1666000000,,,,,,,,,,,-779000000,,,,709000000
2025-06-30,USD,2011000000,,,,,757000000,282000000,,-261000000,,-2298000000,-1319000000,,,,,,,,,,,-524000000,,,,768000000
2025-09-30,USD,2159000000,,,,,754000000,258000000,,-636000000,,-1337000000,-450000000,,,,,,,,,,,-89000000,,,,1172000000
