fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,USD,1587000000,3445000000,1858000000,1858000000,662000000,319000000,610000000,925000000,,-9000000,,9000000,,-9000000.0,,107000000,642000000,89000000,,553000000,,662000000,769000000,555000000
2021-06-30,USD,1830000000,3850000000,2020000000,2020000000,831000000,341000000,659000000,999000000,,-10000000,,10000000,,2000000.0,,110000000,821000000,113000000,,710000000,,831000000,941000000,710000000
2021-09-30,USD,2086000000,4313000000,2227000000,2227000000,948000000,376000000,765000000,1138000000,,-7000000,,7000000,,64000000.0,,112000000,1003000000,82000000,,923000000,,948000000,1060000000,923000000
2021-12-31,USD,2426000000,4826000000,2400000000,2400000000,1207000000,412000000,811000000,1219000000,,-8000000,,8000000,,4000000.0,,134000000,1203000000,229000000,,974000000,,1207000000,1341000000,974000000
2022-03-31,USD,2818000000,5887000000,3069000000,3069000000,951000000,597000000,1060000000,1867000000,,-13000000,,13000000,,-39000000.0,,251000000,896000000,113000000,,783000000,,951000000,1202000000,786000000
2022-06-30,USD,3028000000,6550000000,3522000000,3522000000,526000000,592000000,1300000000,2502000000,,-25000000,35000000.0,25000000,,,,612000000,497000000,54000000,,443000000,,526000000,1138000000,447000000
2022-09-30,USD,2354000000,5565000000,3211000000,3211000000,-42000000,557000000,1279000000,2418000000,,-31000000,34000000.0,31000000,,26000000.0,,590000000,-73000000,-135000000,,62000000,,-42000000,548000000,66000000
2022-12-31,USD,2403000000,5599000000,3196000000,3196000000,-117000000,590000000,1366000000,2552000000,,-19000000,24000000.0,19000000,,,,601000000,-136000000,-154000000,,21000000,,-117000000,484000000,21000000
2023-03-31,USD,2359000000,5353000000,2994000000,2994000000,-102000000,585000000,1411000000,2504000000,,-25000000,25000000.0,25000000,,44000000.0,,518000000,-127000000,13000000,,-140000000,,-102000000,416000000,-139000000
2023-06-30,USD,2443000000,5359000000,2916000000,2916000000,-20000000,547000000,1443000000,2463000000,,-28000000,28000000.0,28000000,,52000000.0,,873000000,-2000000,-23000000,,21000000,,-20000000,853000000,27000000
2023-09-30,USD,2747000000,5800000000,3053000000,3053000000,224000000,576000000,1507000000,2523000000,,-26000000,26000000.0,26000000,,,,848000000,257000000,-39000000,,299000000,,224000000,1072000000,299000000
2023-12-31,USD,2911000000,6168000000,3257000000,3257000000,342000000,51000000,1511000000,2569000000,,179000000,,27000000,,,,824000000,370000000,-297000000,,667000000,,391000000,1215000000,667000000
2024-03-31,USD,2560000000,5473000000,2913000000,2913000000,36000000,620000000,1525000000,2524000000,,-25000000,,25000000,,,,784000000,71000000,-52000000,,123000000,,89000000,873000000,123000000
2024-06-30,USD,2864000000,5835000000,2971000000,2971000000,269000000,650000000,1583000000,2595000000,,-25000000,,25000000,,,,769000000,306000000,41000000,,265000000,,324000000,1093000000,265000000
2024-09-30,USD,3419000000,6819000000,3400000000,3400000000,724000000,721000000,1636000000,2695000000,,-23000000,23000000.0,23000000,,,,838000000,744000000,-27000000,,771000000,,760000000,1598000000,771000000
2024-12-31,USD,3882000000,7658000000,3776000000,3776000000,871000000,792000000,1712000000,3011000000,,163000000,19000000.0,19000000,,,,786000000,901000000,419000000,,482000000,,908000000,1694000000,482000000
2025-03-31,USD,3736000000,7438000000,3702000000,3702000000,806000000,886000000,1728000000,2930000000,,-20000000,20000000.0,20000000,,,,742000000,832000000,123000000,,709000000,,845000000,1587000000,709000000
2025-06-30,USD,3059000000,7685000000,4626000000,4626000000,-134000000,991000000,1894000000,3193000000,,-38000000,38000000.0,38000000,,,,757000000,-66000000,-834000000,,768000000,,-36000000,721000000,872000000
2025-09-30,USD,4780000000,9246000000,4466000000,4466000000,1270000000,1069000000,2139000000,3510000000,,-37000000,37000000.0,37000000,,,,754000000,1325000000,153000000,,1172000000,,1362000000,2116000000,1243000000
