fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-01-31,USD,76972000000,14300000000,9552000000,9552000000,952000000,2524000000,62672000000,2496000000.0,,15419000000,15419000000,43457000000,,,,1272000000,,52973000000,6694000000,898000000,,,864000000,46279000000,,41068000000,864000000,,41932000000,1834000000,5211000000,23999000000,,0,,4290726730
2021-04-30,USD,75524000000,14245000000,9518000000,9518000000,1004000000,2425000000,61279000000,2416000000.0,,14068000000,14068000000,43457000000,,,,1298000000,,51558000000,6436000000,830000000,,,278000000,45122000000,,40160000000,278000000,,40438000000,1919000000,4962000000,23966000000,,0,,4300751790
2021-07-31,USD,75880000000,15636000000,11105000000,11105000000,1160000000,2234000000,60244000000,2370000000.0,,12719000000,12719000000,43457000000,,,,1137000000,,51513000000,6501000000,968000000,,,279000000,45012000000,58000000.0,40178000000,279000000,,40457000000,2246000000,4834000000,24367000000,,320000000,,4300751790
2021-10-31,USD,75570000000,16586000000,12163000000,12163000000,1297000000,2071000000,58984000000,2348000000.0,,11374000000,11374000000,43450000000,,,,1055000000,,50581000000,6281000000,1086000000,,,290000000,44300000000,,39440000000,290000000,,39730000000,2286000000,4860000000,24989000000,,748000000,,4310776850
2022-01-31,USD,73224000000,15341000000,10219000000,10219000000,1520000000,2539000000,57883000000,2303000000.0,,10244000000,10244000000,43450000000,,,,1063000000,,50230000000,6287000000,1078000000,,,300000000,43943000000,,39205000000,300000000,,39505000000,1882000000,4738000000,22994000000,,4984000000,,4290000000
2022-04-30,USD,71719000000,14810000000,9005000000,9005000000,1668000000,3083000000,56909000000,2262000000.0,,9241000000,9241000000,43603000000,,,,1054000000,,50729000000,6910000000,1069000000,,,302000000,43819000000,62000000.0,39135000000,269000000,,39466000000,1939000000,4655000000,20990000000,,6812000000,,4250626480
2022-07-31,USD,71326000000,15561000000,9977000000,9977000000,1838000000,2708000000,55765000000,2250000000.0,,8174000000,8174000000,43608000000,,,,1038000000,,50423000000,6702000000,712000000,,,304000000,43721000000,61000000.0,39191000000,304000000,,39495000000,2389000000,4530000000,20903000000,,11622000000,,4310776850
2022-10-31,USD,73249000000,18504000000,12416000000,12416000000,1925000000,2958000000,54745000000,2223000000.0,,7111000000,7111000000,43614000000,,,,1205000000,,50540000000,7052000000,998000000,,,440000000,43488000000,59000000.0,39075000000,440000000,,39515000000,2683000000,4413000000,22709000000,,1604000000,,4290000000
2023-01-31,USD,72976000000,18836000000,12647000000,12647000000,1899000000,3234000000,54140000000,2201000000.0,,6225000000,6225000000,43614000000,,,,1056000000,,49666000000,7483000000,923000000,,,1115000000,42183000000,55000000.0,38167000000,1115000000,,39282000000,2336000000,4016000000,23310000000,,2371000000,,4290000000
2023-04-30,USD,71667000000,17871000000,11553000000,11553000000,1886000000,3031000000,53796000000,2209000000.0,,5434000000,5434000000,43614000000,,,,1401000000,,49660000000,7511000000,831000000,,,1117000000,42149000000,52000000.0,38194000000,1117000000,,39311000000,2136000000,3955000000,22007000000,,1363000000,,4270000000
2023-07-31,USD,71595000000,18333000000,12055000000,12055000000,1842000000,2914000000,53262000000,2180000000.0,,4654000000,4654000000,43619000000,,,,1522000000,,49516000000,7345000000,992000000,,,1119000000,42171000000,50000000.0,38222000000,1119000000,,39341000000,4403000000,3949000000,22079000000,,1178000000,,4270000000
2023-10-31,USD,72861000000,20847000000,14189000000,14189000000,1898000000,3154000000,52014000000,,,3867000000,3867000000,43653000000,,,,1606000000,,48873000000,7405000000,1210000000,,,1608000000,41468000000,49000000.0,37621000000,1608000000,,39229000000,3652000000,3847000000,23988000000,,2682000000,,4270000000
2024-01-31,USD,177870000000,27192000000,11864000000,11864000000,1920000000,4969000000,150678000000,,,47185000000,47185000000,97586000000,,,,8439000000,,107586000000,20369000000,1496000000,,,2433000000,87217000000,98000000.0,73429000000,2374000000,,75901000000,6847000000,1911000000,70284000000,,0,,4670000000
2024-04-30,USD,175211000000,25302000000,9809000000,9809000000,1842000000,5500000000,149909000000,,,45407000000,45407000000,97873000000,,,,8151000000,,105250000000,20171000000,1441000000,,,2426000000,85079000000,73000000.0,71569000000,2374000000,,74016000000,5785000000,1878000000,69961000000,,0,,4800000000
2024-07-31,USD,167966000000,19947000000,9952000000,9952000000,1894000000,4665000000,148019000000,,,43034000000,43034000000,97873000000,,,,3436000000,,102315000000,19221000000,1757000000,,,3205000000,83094000000,61000000.0,66781000000,3117000000,,69959000000,3379000000,1587000000,65651000000,,-1875000000,5000000.0,4663000000
2024-10-31,USD,165645000000,19595000000,9348000000,9348000000,1760000000,4416000000,146050000000,,,40583000000,40583000000,97873000000,,,,4071000000,,97967000000,16697000000,1662000000,,,1271000000,81270000000,39000000.0,66282000000,1245000000,,67566000000,3649000000,1503000000,67678000000,,0,5000000.0,4828000000
2025-01-31,USD,165358000000,20990000000,9307000000,9307000000,1908000000,7677000000,144368000000,,,38583000000,38583000000,97871000000,,,,2098000000,,95569000000,20910000000,1905000000,,,5653000000,74659000000,22000000.0,60915000000,5642000000,,66579000000,2621000000,1467000000,69789000000,,2729000000,5000000.0,4836000000
2025-04-30,USD,164630000000,22181000000,9472000000,9472000000,2017000000,8797000000,142449000000,,,36393000000,36393000000,97801000000,,,,1895000000,,95044000000,20597000000,1297000000,,,5531000000,74447000000,11000000.0,61744000000,5527000000,,67282000000,2820000000,1445000000,69586000000,,2686000000,5000000.0,4826000000
2025-07-31,USD,165621000000,24998000000,10718000000,10718000000,2180000000,6494000000,140623000000,,,34344000000,34344000000,97801000000,,,,5606000000,,92344000000,16704000000,1432000000,,,1399000000,75640000000,10000000.0,62823000000,1396000000,,64229000000,3158000000,1410000000,73277000000,,4040000000,5000000.0,4860000000
