fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-01-31,USD,3113000000,,,,,1533000000,114000000,-247000000.0,51000000,,-122000000,-1057000000,,,,,1543000000,1543000000,,,,,-225000000,,1934000000.0,,1378000000
2021-04-30,USD,3569000000,,,,,1504000000,126000000,106000000.0,-52000000,,-126000000,-3477000000,,,,,1552000000,1552000000,,,,,-461000000,,-34000000.0,,1493000000
2021-07-31,USD,3541000000,,,,,1503000000,115000000,191000000.0,-156000000,,-47000000,-1907000000,,,,,1556000000,1556000000,,,,,-347000000,,1587000000.0,,1876000000
2021-10-31,USD,3541000000,,,,,1501000000,88000000,160000000.0,-137000000,,50000000,-2533000000,,,,,1561000000,1561000000,,,,,-266000000,,1058000000.0,,1989000000
2022-01-31,USD,3486000000,,,,,1287000000,101000000,-468000000.0,-223000000,,-309000000,-5121000000,,,,,1764000000,1764000000,,,,,-3099000000,,-1944000000.0,,2472000000
2022-04-30,USD,4243000000,,,,,1264000000,85000000,-536000000.0,-147000000,,-310000000,-5147000000,,,,,1750000000,1750000000,,,,,-3290000000,,-1214000000.0,,2590000000
2022-07-31,USD,4424000000,,,,,1217000000,116000000,375000000.0,-170000000,,80000000,-3532000000,,,,,1736000000,1736000000,,,,,-1792000000,,972000000.0,,3074000000
2022-10-31,USD,4583000000,,,,,1216000000,122000000,-241000000.0,-87000000,,-128000000,-2016000000,,,,,1782000000,1782000000,,,,,-274000000,,2439000000.0,,3359000000
2023-01-31,USD,4036000000,,,,,1032000000,103000000,-276000000.0,26000000,,-103000000,-3702000000,,,,,1926000000,1926000000,,,,,-1521000000,,231000000.0,,3774000000
2023-04-30,USD,4502000000,,,,,939000000,122000000,185000000.0,13000000,,-318000000,-5278000000,,,,,1914000000,1914000000,,,,,-3420000000,,-1094000000.0,,3481000000
2023-07-31,USD,4719000000,,,,,932000000,122000000,135000000.0,44000000,,-144000000,-4073000000,,,,,1901000000,1901000000,,,,,-2167000000,,502000000.0,,3303000000
2023-10-31,USD,4828000000,,,,,932000000,105000000,,-56000000,,-124000000,-2570000000,,,,,1904000000,1904000000,,,,,-577000000,,,,3524000000
2024-01-31,USD,4815000000,,,,,2345000000,122000000,,-14000000,,-25477000000,18337000000,,,,,2435000000,2435000000,,,,,-8290000000,,,,1274000000
2024-04-30,USD,4580000000,,,,,2530000000,132000000,,82000000,,-706000000,-5929000000,,,,,2443000000,2443000000,,,,,-1548000000,,,,2121000000
2024-07-31,USD,4963000000,,,,,2524000000,172000000,,-52000000,,3245000000,-8065000000,,,,,2452000000,2452000000,,,,,-1350000000,,,,-1875000000
2024-10-31,USD,5604000000,,,,,2611000000,122000000,,134000000,,-132000000,-6076000000,,,,,2484000000,2484000000,,,,,-1204000000,,,,4324000000
2025-01-31,USD,6113000000,,,,,2174000000,100000000,,-148000000,,-174000000,-5980000000,,,,,2774000000,2774000000,,,,,-2036000000,,,,5503000000
2025-04-30,USD,6555000000,,,,,2166000000,144000000,,-109000000,,-133000000,-6257000000,,,,,2785000000,2785000000,,,,,-4216000000,,,,4965000000
2025-07-31,USD,7166000000,,,,,2202000000,142000000,,-163000000,,94000000,-6014000000,,,,,2786000000,2786000000,,,,,-58000000,,,,4140000000
2025-10-31,USD,7703000000,,,,,2233000000,237000000,,-90000000,,-367000000,-1876000000,,,,,2797000000,2797000000,,,,,0,,,,8518000000
