fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-01-31,USD,3952000000,6655000000,2703000000,2703000000,1837000000,339000000,1211000000,2115000000,,-570000000,,570000000,,117000000.0,,1533000000,1384000000,6000000,,1378000000,,1954000000,3487000000,1378000000
2021-04-30,USD,4057000000,6610000000,2553000000,2553000000,1975000000,325000000,1238000000,2082000000,,-466000000,,466000000,,-23000000.0,,1504000000,1486000000,-7000000,,1493000000,,1952000000,3456000000,1493000000
2021-07-31,USD,4197000000,6778000000,2581000000,2581000000,2126000000,346000000,1205000000,2071000000,,-415000000,,415000000,,15000000.0,,1503000000,1726000000,-150000000,,1876000000,,2141000000,3644000000,1876000000
2021-10-31,USD,4638000000,7407000000,2769000000,2769000000,2581000000,337000000,1200000000,2057000000,,-434000000,,411000000,,22000000.0,,1501000000,2169000000,180000000,,1989000000,,2603000000,4104000000,1989000000
2022-01-31,USD,5049000000,7706000000,2657000000,2657000000,3127000000,321000000,1206000000,1924000000,,-407000000,,407000000,,-14000000.0,,1287000000,2687000000,215000000,,2472000000,,3094000000,4381000000,2472000000
2022-04-30,USD,5439000000,8103000000,2664000000,2664000000,3413000000,368000000,1261000000,2027000000,,-518000000,,518000000,,-86000000.0,,1264000000,2790000000,200000000,,2590000000,,3308000000,4572000000,2590000000
2022-07-31,USD,5681000000,8464000000,2783000000,2783000000,3737000000,323000000,1255000000,1937000000,,-406000000,,406000000,,6000000.0,,1217000000,3337000000,263000000,,3074000000,,3743000000,4960000000,3074000000
2022-10-31,USD,5926000000,8930000000,3004000000,3004000000,3986000000,370000000,1197000000,1925000000,,-406000000,,406000000,,40000000.0,,1216000000,3620000000,261000000,,3359000000,,4026000000,5242000000,3359000000
2023-01-31,USD,6004000000,8915000000,2911000000,2911000000,4103000000,348000000,1195000000,1901000000,,-406000000,,406000000,,143000000.0,,1032000000,3840000000,66000000,,3774000000,,4246000000,5278000000,3774000000
2023-04-30,USD,6115000000,8733000000,2618000000,2618000000,4008000000,438000000,1312000000,2098000000,,-405000000,,405000000,,113000000.0,,939000000,3716000000,235000000,,3481000000,,4121000000,5060000000,3481000000
2023-07-31,USD,6164000000,8876000000,2712000000,2712000000,3856000000,388000000,1358000000,2308000000,,-406000000,,406000000,,124000000.0,,932000000,3574000000,271000000,,3303000000,,3980000000,4912000000,3303000000
2023-10-31,USD,6407000000,9295000000,2888000000,2888000000,4240000000,418000000,1388000000,2154000000,,-405000000,,405000000,,,,932000000,3967000000,443000000,,3524000000,,4372000000,5304000000,3524000000
2024-01-31,USD,7375000000,11961000000,4586000000,4586000000,2083000000,1572000000,2308000000,5292000000,,-926000000,,926000000,,,,2345000000,1342000000,68000000,,1274000000,,2268000000,4613000000,1325000000
2024-04-30,USD,7776000000,12487000000,4711000000,4711000000,2965000000,1277000000,2415000000,4811000000,,-1047000000,,1047000000,,,,2530000000,2005000000,-116000000,,2121000000,,3052000000,5582000000,2121000000
2024-07-31,USD,8356000000,13072000000,4716000000,4716000000,3788000000,1100000000,2353000000,4568000000,,-1064000000,,1064000000,,,,2524000000,2806000000,4238000000,,-1432000000,,3870000000,6394000000,-1875000000
2024-10-31,USD,9002000000,14054000000,5052000000,5052000000,4627000000,1010000000,2234000000,4375000000,,-455000000,,864000000,,,,2611000000,3763000000,-442000000,,4205000000,,4679000000,7290000000,4324000000
2025-01-31,USD,10145000000,14916000000,4771000000,4771000000,6260000000,949000000,2253000000,3885000000,,-873000000,,873000000,,,,-103000000,5490000000,-13000000,,5503000000,,6363000000,6260000000,5503000000
2025-04-30,USD,10197000000,15004000000,4807000000,4807000000,5829000000,1083000000,2693000000,4368000000,,-769000000,,769000000,,,,4340000000,5085000000,120000000,,4965000000,,5854000000,10194000000,4965000000
2025-07-31,USD,10703000000,15952000000,5249000000,5249000000,5887000000,1072000000,3050000000,4816000000,,-807000000,,754000000,,,,2202000000,5285000000,1145000000,,4140000000,,5826000000,8028000000,4140000000
2025-10-31,USD,12249000000,18015000000,5766000000,5766000000,7508000000,1107000000,2981000000,4741000000,,-414000000,,761000000,,,,2233000000,6869000000,-1649000000,,8518000000,,7630000000,9863000000,8518000000
