fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,USD,150622000000,45773000000,5192000000,5192000000,8487000000,7208000000,104849000000,57330000000,,8408000000,8408000000,26971000000,,1409000000.0,17205000000,7681000000,,70815000000,24151000000,5434000000,,,2647000000,46664000000,,33237000000,2647000000.0,,35884000000,11465000000,9927000000.0,79807000000,,54638000000,26272000000,4096000000
2021-06-30,USD,154597000000,49372000000,4746000000,4746000000,8817000000,7460000000,105225000000,58166000000,,8018000000,8018000000,26768000000,,6917000000.0,20111000000,8238000000,,69390000000,24836000000,5917000000,,,3695000000,44554000000,,31714000000,3695000000.0,,35409000000,11052000000,5329000000.0,85207000000,,59647000000,26655000000,4084000000
2021-09-30,USD,167962000000,61304000000,7870000000,7870000000,9798000000,8400000000,106658000000,59733000000,,7684000000,7684000000,26786000000,,7003000000.0,26765000000,8471000000,,77875000000,29572000000,6792000000,,,4694000000,48303000000,,35610000000,4694000000.0,,40304000000,13863000000,5389000000.0,90087000000,,63642000000,27592000000,4086000000
2021-12-31,USD,168406000000,57718000000,4827000000,4827000000,10776000000,9457000000,110688000000,63245000000,,7270000000,7270000000,26963000000,,7138000000.0,23586000000,9072000000,,73015000000,27462000000,5747000000,,,4600000000,45553000000,,33510000000,4591000000.0,,38101000000,12810000000,9191000000.0,95391000000,,68265000000,28006000000,4095000000
2022-03-31,USD,176356000000,62568000000,6215000000,6215000000,11935000000,7074000000,113788000000,66718000000,,6813000000,6813000000,27011000000,,6036000000.0,32481000000,4863000000,,73220000000,29322000000,7210000000,,,4459000000,43898000000,,32788000000,4459000000.0,,37247000000,13281000000,9563000000.0,103136000000,,74894000000,29244000000,4107000000
2022-06-30,USD,170418000000,50588000000,4390000000,4390000000,12174000000,6063000000,119830000000,71660000000,,6427000000,6427000000,27587000000,,5929000000.0,22654000000,5307000000,,69200000000,27218000000,7945000000,,,2882000000,41982000000,,32548000000,2882000000.0,,35430000000,12707000000,8862000000.0,101218000000,,72985000000,29858000000,4100000000
2022-09-30,USD,174841000000,49263000000,4529000000,4529000000,12831000000,7469000000,125578000000,75763000000,,6268000000,6268000000,27591000000,,5822000000.0,18030000000,6404000000,,74956000000,27813000000,7133000000,,,2283000000,47143000000,,37240000000,2283000000.0,,39523000000,14615000000,9542000000.0,99885000000,,71024000000,30912000000,4125000000
2022-12-31,USD,182103000000,50407000000,11144000000,11144000000,13224000000,4133000000,131696000000,80860000000,,6018000000,6018000000,27591000000,,5912000000.0,17194000000,4712000000,,78817000000,32155000000,9595000000,,,4323000000,46662000000,,37684000000,4323000000.0,,42051000000,15986000000,8776000000.0,101423000000,,70405000000,31580000000,4133000000
2023-03-31,USD,185303000000,48314000000,8232000000,8232000000,12993000000,3847000000,136989000000,85734000000,,5567000000,5567000000,27591000000,,6029000000.0,19302000000,3940000000,,84900000000,27393000000,8083000000,,,1437000000,57507000000,,48836000000,1437000000.0,,50273000000,13827000000,8671000000.0,98059000000,,65649000000,32829000000,4154000000
2023-06-30,USD,185629000000,43356000000,8349000000,8349000000,11984000000,2996000000,142273000000,90945000000,,5173000000,5173000000,27591000000,,5893000000.0,15908000000,4119000000,,81158000000,27180000000,8757000000,,,2711000000,53978000000,,46335000000,2711000000.0,,49046000000,13543000000,7643000000.0,101017000000,,67231000000,34330000000,4196000000
