fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,USD,5548000000,,,,,2902000000,4388000000,,180000000,,-2547000000,-3674000000,,,,,1411000000,1411000000,,,,,-2301000000.0,,-673000000.0,,3361000000
2021-06-30,USD,8746000000,,,,,2857000000,3868000000,,-306000000,,-6904000000,-2288000000,,,,,1410000000,1410000000,,,,,-114000000.0,,-446000000.0,,5061000000
2021-09-30,USD,9900000000,,,,,2959000000,4441000000,,-1086000000,,-10682000000,3906000000,,,,,1410000000,1410000000,,,,,427000000.0,,3124000000.0,,6823000000
2021-12-31,USD,5797000000,,,,,3074000000,7632000000,2674000000.0,-1127000000,,-5034000000,-3806000000,,,,,1413000000,1413000000,,,,,4000000.0,,-3043000000.0,,4623000000
2022-03-31,USD,5891000000,,,,,3348000000,4797000000,,-1147000000,,-2640000000,-1863000000,,,,,1487000000,1487000000,,,,,-589000000.0,,1388000000.0,,8113000000
2022-06-30,USD,809000000,,,,,3148000000,7255000000,,-239000000,,168000000,-2802000000,,,,,1499000000,1499000000,,,,,-589000000.0,,-1825000000.0,,-454000000
2022-09-30,USD,1030000000,,,,,3252000000,7299000000,,-657000000,,-4571000000,3680000000,,,,,1502000000,1502000000,,,,,-383000000.0,,139000000.0,,1019000000
2022-12-31,USD,1003000000,,,,,-3209000000,5699000000,,993000000,,-3431000000,7008000000,,,,,1477000000,1477000000,,,,,1911000000.0,,6615000000.0,,-8320000000
2023-03-31,USD,-1785000000,,,,,2366000000,7413000000,,231000000,,-8521000000,7394000000,,,,,1512000000,1512000000,,,,,1108000000.0,,-2912000000.0,,-2768000000
2023-06-30,USD,2808000000,,,,,2276000000,5888000000,,1009000000,,-2808000000,117000000,,,,,524000000,524000000,,,,,465000000.0,,117000000.0,,1473000000
2023-09-30,USD,5824000000,,,,,2447000000,5753000000,,518000000,,-18723000000,842000000,,,,,525000000,525000000,,,,,2423000000.0,,,,310000000
2023-12-31,USD,4624000000,,,,,2513000000,6696000000,,339000000,,-5318000000,152000000,,,,,527000000,527000000,,,,,,,,,2660000000
2024-03-31,USD,-1223000000,,,,,2551000000,5970000000,,-366000000,,-2563000000,3630000000,,,,,529000000,529000000,,,,,,,,,-437000000
2024-06-30,USD,2292000000,,,,,2569000000,5682000000,,250000000,,-9165000000,11237000000,,,,,534000000,534000000,,,,,,,,,-1654000000
2024-09-30,USD,4054000000,,,,,3612000000,6458000000,,-853000000,,-2764000000,-3792000000,,,,,536000000,536000000,,,,,986000000.0,,,,-16989000000
2024-12-31,USD,3165000000,,,,,2647000000,5834000000,,-136000000,,-3764000000,63000000,,,,,1599000000,1599000000,,,,,987000000.0,,,,-153000000
2025-03-31,USD,813000000,,,,,2674000000,5183000000,,-83000000,,81000000,-196000000,,,,,0,0,,,,,491000000.0,,,,-887000000
2025-06-30,USD,2050000000,,,,,3013000000,3550000000,,182000000,,-2086000000,782000000,,,,,0,0,,,,,491000000.0,,,,-3024000000
2025-09-30,USD,2546000000,,,,,2992000000,2425000000,,-108000000,,-6250000000,5152000000,,,,,0,0,,,,,5436000000.0,,,,4270000000
2025-12-31,USD,4288000000,,,,,3027000000,3488000000,,-129000000,,-6566000000,5849000000,,,,,0,0,,,,,14398000000.0,,,,-333000000
