fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,USD,10854000000,19673000000,8819000000,8819000000,5903000000,1328000000,3623000000,4951000000,,-153000000.0,37000000,190000000,,-156000000.0,,2902000000.0,3906000000,545000000,,3361000000.0,,4096000000.0,6998000000,3361000000
2021-06-30,USD,11206000000,19631000000,8425000000,8425000000,5892000000,1599000000,3715000000,5314000000,,-96000000.0,37000000,129000000,,-96000000.0,,2857000000.0,5745000000,684000000,,5061000000.0,,5892000000.0,8749000000,5061000000
2021-09-30,USD,10746000000,19192000000,8446000000,8446000000,5269000000,1674000000,3803000000,5519000000,,-107000000.0,37000000,144000000,,-76000000.0,,2959000000.0,6858000000,35000000,,6823000000.0,,7002000000.0,9961000000,6823000000
2021-12-31,USD,11009000000,20528000000,9519000000,9519000000,5018000000,842000000,4049000000,5991000000,,-154000000.0,33000000,134000000,,2575000000.0,,3074000000.0,5194000000,571000000,,4623000000.0,,5328000000.0,8402000000,4623000000
2022-03-31,USD,9244000000,18353000000,9109000000,9109000000,4341000000,1752000000,4362000000,4903000000,,997000000.0,1121000000,124000000,,997000000.0,,3348000000.0,9661000000,1548000000,,8113000000.0,,9785000000.0,13133000000,8113000000
2022-06-30,USD,5587000000,15321000000,9734000000,9734000000,-700000000,1800000000,4400000000,6287000000,,-11000000.0,98000000,109000000,,-119000000.0,,3148000000.0,-909000000,-455000000,,-454000000.0,,-800000000.0,2348000000,-454000000
2022-09-30,USD,6535000000,15338000000,8803000000,8803000000,-175000000,1744000000,4302000000,6710000000,,138000000.0,170000000,114000000,,138000000.0,,3252000000.0,-188000000,-1207000000,,1019000000.0,,-74000000.0,3178000000,1019000000
2022-12-31,USD,5500000000,14042000000,8542000000,8542000000,-1132000000,506000000,4464000000,6632000000,,150000000.0,274000000,149000000,,150000000.0,,3287000000.0,-796000000,-135000000,,-661000000.0,,-647000000.0,2640000000,-664000000
2023-03-31,USD,4008000000,11715000000,7707000000,7707000000,-1468000000,1303000000,4109000000,5476000000,,141000000.0,334000000,193000000,,141000000.0,,2366000000.0,-1158000000,1610000000,,-2768000000.0,,-965000000.0,1401000000,-2758000000
2023-06-30,USD,4638000000,12949000000,8311000000,8311000000,-1016000000,1374000000,4080000000,5654000000,,224000000.0,200000000,214000000,,224000000.0,,2276000000.0,-816000000,-2289000000,,1473000000.0,,-602000000.0,1674000000,1481000000
2023-09-30,USD,6018000000,14158000000,8140000000,8140000000,-8000000,1340000000,3870000000,6026000000,,147000000.0,63000000,204000000,,,,2447000000.0,-52000000,-362000000,,310000000.0,,152000000.0,2599000000,297000000
2023-12-31,USD,7047000000,15406000000,8359000000,8359000000,2585000000,667000000,3987000000,4462000000,,117000000.0,356000000,267000000,,,,2513000000.0,2788000000,128000000,,2660000000.0,,3055000000.0,5568000000,2669000000
2024-03-31,USD,5217000000,12724000000,7507000000,7507000000,-1069000000,1556000000,4382000000,6286000000,,145000000.0,323000000,258000000,,,,2551000000.0,-719000000,-282000000,,-437000000.0,,-461000000.0,2090000000,-381000000
2024-06-30,USD,4547000000,12833000000,8286000000,8286000000,-1964000000,1329000000,4239000000,6511000000,,80000000.0,320000000,294000000,,,,2569000000.0,-2004000000,-350000000,,-1654000000.0,,-1710000000.0,859000000,-1610000000
2024-09-30,USD,1997000000,13284000000,11287000000,11287000000,-9057000000,1383000000,4049000000,11054000000,,130000000.0,340000000,210000000,,,,3612000000.0,-9086000000,7903000000,,-16989000000.0,,-8838000000.0,-5226000000,-16639000000
2024-12-31,USD,5584000000,14260000000,8676000000,8676000000,412000000,383000000,3876000000,5172000000,,626000000.0,822000000,196000000,,,,2647000000.0,599000000,752000000,,-153000000.0,,833000000.0,3480000000,-126000000
2025-03-31,USD,4672000000,12667000000,7995000000,7995000000,-301000000,1177000000,3640000000,4973000000,,-173000000.0,245000000,299000000,,,,2674000000.0,-586000000,301000000,,-887000000.0,,-287000000.0,2387000000,-821000000
2025-06-30,USD,3542000000,12859000000,9317000000,9317000000,-3176000000,1144000000,3684000000,6718000000,,-189000000.0,210000000,227000000,,,,3013000000.0,-2769000000,255000000,,-3024000000.0,,-2542000000.0,471000000,-2918000000
2025-09-30,USD,5218000000,13653000000,8435000000,8435000000,683000000,1129000000,3231000000,4535000000,,-189000000.0,228000000,282000000,,,,2992000000.0,4574000000,304000000,,4270000000.0,,4856000000.0,7848000000,4063000000
2025-12-31,USD,5043000000,13674000000,8631000000,8631000000,667000000,1174000000,3219000000,4376000000,,,242000000,145000000,,,,,338000000,671000000,,,,,483000000,-591000000
