fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,USD,37168000000,18299000000,6000000000,6000000000,2668000000,3346000000,18869000000,4186000000.0,,1662000000,1662000000,7220000000,,,5526000000,759000000,,29744000000,9070000000,2548000000,,,500000000.0,20674000000,,15235000000,500000000.0,,15735000000,3721000000,4876000000,7424000000,,7143000000,,1151000000
2021-06-30,USD,38769000000,19693000000,7399000000,7399000000,3133000000,2952000000,19076000000,4424000000.0,,1542000000,1542000000,7229000000,,,5508000000,701000000,,30592000000,11460000000,2709000000,,,2045000000.0,19132000000,,13695000000,2045000000.0,,15740000000,4374000000,3248000000,8177000000,,7993000000,,1145000000
2021-09-30,USD,41240000000,20075000000,7116000000,7116000000,3228000000,3579000000,21165000000,4559000000.0,,1458000000,1458000000,7246000000,,,5298000000,854000000,,31290000000,11951000000,2750000000,,,2170000000.0,19339000000,,13701000000,2044000000.0,,16299000000,5557000000,5274000000,9950000000,,9822000000,,1144000000
2021-12-31,USD,42820000000,20222000000,6607000000,6607000000,3861000000,4032000000,22598000000,4723000000.0,,1373000000,1373000000,7264000000,,,4703000000,1019000000,,31487000000,12273000000,3526000000,,,2042000000.0,19214000000,,13708000000,2042000000.0,,15750000000,4414000000,5249000000,11333000000,,11275000000,,1142000000
2022-03-31,USD,44302000000,21610000000,7173000000,7173000000,4555000000,4084000000,22692000000,4893000000.0,,1258000000,1258000000,7261000000,,,4373000000,1425000000,,30974000000,13432000000,3724000000,,,3485000000.0,17542000000,,12195000000,3485000000.0,,15680000000,4210000000,5119000000,13328000000,,13113000000,,1140000000
2022-06-30,USD,47020000000,18999000000,2676000000,2676000000,5418000000,3804000000,28021000000,5038000000.0,,1954000000,1954000000,10719000000,,,4172000000,2929000000,,30972000000,11829000000,3752000000,,,1945000000.0,19143000000,,13600000000,1945000000.0,,15545000000,5669000000,5363000000,16048000000,,15830000000,,1134000000
2022-09-30,USD,49014000000,20724000000,2773000000,2773000000,6341000000,5643000000,28290000000,5168000000.0,,1882000000,1882000000,10508000000,,,3609000000,2358000000,,31001000000,11866000000,3796000000,,,2049000000.0,19135000000,,13537000000,1945000000.0,,16159000000,5018000000,5454000000,18013000000,,17840000000,195000000.0,1131000000
2022-12-31,USD,50014000000,21098000000,4808000000,4808000000,6932000000,3960000000,28916000000,5215000000.0,,1796000000,1796000000,10566000000,,,3430000000,1968000000,,31204000000,10081000000,2562000000,,,1446000000.0,21123000000,,15431000000,1446000000.0,,16877000000,5784000000,5587000000,18810000000,,18517000000,,1131000000
2023-03-31,USD,48362000000,19073000000,3488000000,3488000000,6858000000,3691000000,29289000000,5281000000.0,,1727000000,1727000000,10579000000,,,3188000000,1848000000,,28664000000,7866000000,1430000000,,,499000000.0,20798000000,,15486000000,499000000.0,,15985000000,5660000000,5208000000,19698000000,,19280000000,,1123000000
2023-06-30,USD,49002000000,20476000000,6087000000,6087000000,6628000000,3850000000,28526000000,5216000000.0,,1618000000,1618000000,10591000000,,,2544000000,1367000000,,28332000000,8463000000,1744000000,,,914000000.0,19869000000,,14530000000,914000000.0,,15444000000,4458000000,5247000000,20670000000,,20163000000,77000000.0,1124000000
2023-09-30,USD,51040000000,22464000000,8450000000,8450000000,6826000000,3183000000,28576000000,,,1408000000,1408000000,10642000000,,,2874000000,1131000000,,29459000000,9628000000,1912000000,,,1012000000.0,19831000000,,14484000000,914000000.0,,16067000000,4694000000,4130000000,21581000000,,20733000000,490000000.0,1125000000
2023-12-31,USD,52135000000,23439000000,8133000000,8133000000,6247000000,3513000000,28696000000,,,1387000000,1387000000,10722000000,,,3921000000,1625000000,,29077000000,9169000000,2147000000,,,914000000.0,19908000000,,14566000000,914000000.0,,15480000000,4842000000,4150000000,23058000000,,22565000000,,1127000000
2024-03-31,USD,53167000000,24232000000,9219000000,9219000000,6087000000,3054000000,28935000000,,,1331000000,1331000000,10760000000,,,4632000000,1240000000,,28698000000,9143000000,2314000000,,,914000000.0,19555000000,,14543000000,914000000.0,,15457000000,4569000000,4351000000,24469000000,,23965000000,66000000.0,1130000000
