fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,USD,2911000000,,,,,387000000,483000000,799000000.0,-122000000,,-1832000000,-2143000000,,,,,734000000,734000000,,,,,-1521000000,,-1076000000.0,-12000000.0,1762000000
2021-06-30,USD,3373000000,,,,,406000000,506000000,394000000.0,-449000000,,-372000000,-1608000000,,,,,767000000,767000000,,,,,-630000000,,1399000000.0,6000000.0,2028000000
2021-09-30,USD,1077000000,,,,,425000000,430000000,-626000000.0,-113000000,,50000000,-1402000000,,,,,768000000,768000000,,,,,-771000000,,-283000000.0,-8000000.0,2798000000
2021-12-31,USD,2057000000,,,,,406000000,583000000,-454000000.0,-638000000,,-112000000,-2446000000,,,,,765000000,765000000,,,,,-1178000000,,-509000000.0,-8000000.0,3399000000
2022-03-31,USD,2698000000,,,,,428000000,491000000,-47000000.0,-699000000,,-526000000,-1598000000,,,,,764000000,764000000,,,,,-951000000,,566000000.0,-8000000.0,2934000000
2022-06-30,USD,2895000000,,,,,438000000,554000000,285000000.0,-864000000,,-4876000000,-1960000000,,,,,842000000,842000000,,,,,-500000000,,-3975000000.0,-34000000.0,3730000000
2022-09-30,USD,1446000000,,,,,490000000,634000000,-1850000000.0,-936000000,,-290000000,-1192000000,,,,,841000000,841000000,,,,,-500000000,,14000000.0,,2923000000
2022-12-31,USD,3095000000,,,,,398000000,398000000,1694000000.0,-476000000,,-133000000,-1015000000,,,,,842000000,842000000,,,,,-1270000000,,1947000000.0,,2273000000
2023-03-31,USD,1457000000,,,,,470000000,453000000,270000000.0,80000000,,-224000000,-2543000000,,,,,834000000,834000000,,,,,-903000000,,-1310000000.0,,1702000000
2023-06-30,USD,2657000000,,,,,479000000,306000000,-157000000.0,204000000,,1737000000,-1988000000,,,,,893000000,893000000,,,,,-400000000,,2406000000.0,,1735000000
2023-09-30,USD,4090000000,,,,,462000000,293000000,,200000000,,-618000000,-1117000000,,,,,893000000,893000000,,,,,-400000000,,,,1629000000
2023-12-31,USD,2949000000,,,,,437000000,214000000,,165000000,,-1256000000,-2041000000,,,,,895000000,895000000,,,,,-784000000,,,,2811000000
2024-03-31,USD,3554000000,,,,,411000000,184000000,,163000000,,-939000000,-1580000000,,,,,895000000,895000000,,,,,-731000000,,,,2275000000
2024-06-30,USD,3052000000,,,,,419000000,387000000,,69000000,,-1043000000,-3449000000,,,,,949000000,949000000,,,,,-1303000000,,,,2108000000
2024-09-30,USD,2647000000,,,,,439000000,256000000,,-384000000,,-385000000,-2199000000,,,,,948000000,948000000,,,,,-1303000000,,,,2915000000
2024-12-31,USD,4587000000,,,,,436000000,277000000,,111000000,,-671000000,-3008000000,,,,,942000000,942000000,,,,,-1750000000,,,,3180000000
2025-03-31,USD,2554000000,,,,,397000000,214000000,,91000000,,-1289000000,-2781000000,,,,,938000000,938000000,,,,,-1748000000,,,,2812000000
2025-06-30,USD,2875000000,,,,,398000000,294000000,,-169000000,,1631000000,-3971000000,,,,,968000000,968000000,,,,,-2849000000,,,,2666000000
2025-09-30,USD,3996000000,,,,,371000000,407000000,,-171000000,,-471000000,-3436000000,,,,,957000000,957000000,,,,,-2444000000,,,,-3117000000
