fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,USD,4503000000,7935000000,3432000000,3432000000,2166000000,557000000,1780000000,2337000000,,-119000000,22000000,141000000,,104000000.0,,387000000,2129000000,367000000,,1762000000,,2166000000,2553000000,1762000000
2021-06-30,USD,4656000000,8060000000,3404000000,3404000000,2195000000,597000000,1864000000,2461000000,,-117000000,21000000,138000000,,200000000.0,,406000000,2257000000,230000000,,2027000000,,2195000000,2601000000,2027000000
2021-09-30,USD,5399000000,9336000000,3937000000,3937000000,2902000000,4060000000,1878000000,2497000000,,-118000000,20000000,138000000,,521000000.0,,425000000,3285000000,487000000,,2799000000,,2902000000,3327000000,2798000000
2021-12-31,USD,6402000000,10705000000,4303000000,4303000000,3864000000,608000000,1930000000,2538000000,,-122000000,17000000,139000000,,140000000.0,,406000000,3865000000,466000000,,3399000000,,3864000000,4270000000,3399000000
2022-03-31,USD,6516000000,11164000000,4648000000,4648000000,3858000000,624000000,2034000000,2658000000,,-117000000,20000000,137000000,,-298000000.0,,428000000,3423000000,489000000,,2934000000,,3858000000,4286000000,2934000000
2022-06-30,USD,6120000000,10936000000,4816000000,4816000000,4472000000,655000000,2052000000,1648000000,,-48000000,22000000,70000000,,-163000000.0,,438000000,4239000000,509000000,,3730000000,,3413000000,3851000000,3730000000
2022-09-30,USD,6527000000,11395000000,4868000000,4868000000,3666000000,4457000000,2178000000,2861000000,,-113000000,32000000,145000000,,-51000000.0,,490000000,3470000000,547000000,,2923000000,,3666000000,4156000000,2873000000
2022-12-31,USD,5419000000,9463000000,4044000000,4044000000,2465000000,623000000,2251000000,2954000000,,-115000000,55000000,170000000,,76000000.0,,398000000,2371000000,98000000,,2273000000,,2541000000,2939000000,2235000000
2023-03-31,USD,5122000000,9275000000,4153000000,4153000000,2090000000,614000000,2210000000,3032000000,,-179000000,59000000,179000000,,-16000000.0,,470000000,1895000000,193000000,,1702000000,,2074000000,2544000000,1704000000
2023-06-30,USD,4659000000,8451000000,3792000000,3792000000,1823000000,618000000,2222000000,2840000000,,-93000000,79000000,172000000,,106000000.0,,479000000,1757000000,22000000,,1735000000,,1823000000,2302000000,1803000000
2023-09-30,USD,4751000000,8631000000,3880000000,3880000000,1410000000,628000000,2135000000,3340000000,,-174000000,120000000,173000000,,,,462000000,1420000000,-209000000,,1629000000,,1593000000,2055000000,1490000000
2023-12-31,USD,5623000000,9935000000,4312000000,4312000000,2928000000,627000000,2096000000,2695000000,,-29000000,149000000,178000000,,,,437000000,2962000000,151000000,,2811000000,,2900000000,3337000000,2767000000
2024-03-31,USD,5283000000,9389000000,4106000000,4106000000,2340000000,707000000,2236000000,2943000000,,-12000000,160000000,172000000,,,,411000000,2498000000,223000000,,2275000000,,2340000000,2751000000,2326000000
2024-06-30,USD,5219000000,9393000000,4174000000,4174000000,2221000000,664000000,2259000000,2998000000,,14000000,182000000,168000000,,,,419000000,2279000000,171000000,,2108000000,,2296000000,2715000000,2129000000
2024-09-30,USD,5777000000,10244000000,4467000000,4467000000,2582000000,761000000,2302000000,3195000000,,5000000,185000000,180000000,,,,439000000,2596000000,-319000000,,2915000000,,2776000000,3215000000,2920000000
2024-12-31,USD,6508000000,11669000000,5161000000,5161000000,3555000000,723000000,2230000000,2953000000,,6000000,169000000,163000000,,,,436000000,3635000000,455000000,,3180000000,,3798000000,4234000000,3180000000
2025-03-31,USD,6042000000,10979000000,4937000000,4937000000,3120000000,706000000,2216000000,2922000000,,4000000,167000000,163000000,,,,178000000,3105000000,293000000,,2812000000,,2942000000,3120000000,2812000000
2025-06-30,USD,5759000000,10365000000,4606000000,4606000000,2762000000,771000000,2226000000,2997000000,,-8000000,160000000,168000000,,,,617000000,2952000000,286000000,,2666000000,,3120000000,3737000000,2666000000
2025-09-30,USD,6237000000,11271000000,5034000000,5034000000,2918000000,910000000,2370000000,3319000000,,-27000000,144000000,170000000,,,,371000000,2971000000,6088000000,,-3117000000,,3141000000,3512000000,-3117000000
