fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-03-31,TWD,2760711405000,1092185308000,660170647000,660170647000,137353407000,146089048000,1668526097000,1690833602000.0,,20331577000.0,20331577000.0,5436602000.0,,29130450000.0,141981968000,6590191000,,910089406000,617151048000,196792245000,,,88559026000,292938358000,21074764000.0,276838000000.0,137123748000.0,,389095917000,331799777000,2409411000.0,1849657256000,,1588686081000,259303805000,5186076092
2021-06-30,TWD,3092688800000,1241104000000,747982100000,747982100000,170438700000,179971600000,1851584800000,1755298405000.0,,21126700000.0,21126700000.0,5408400000.0,,29063472000.0,135302900000,7408400000,,1110653900000,659558300000,146871900000,,,139380900000,451095600000,21030441000.0,410465000000.0,139380910000.0,,574047529000,373305500000,2608325000.0,1979870900000,,1714407300000,259303800000,5186076000
2021-09-30,TWD,3092688800000,1241104000000,747982100000,747982100000,170438700000,179971600000,1851584800000,1861855662000.0,,21126700000.0,21126700000.0,5408400000.0,,27730551000.0,135302900000,7408400000,,1110653900000,659558300000,146871900000,,,139380900000,451095600000,21052983000.0,459733000000.0,118844065000.0,,623639521000,344597850000,99886871000.0,1979870900000,,1714407300000,259303800000,5186076000
2021-12-31,TWD,3725479503000,1607072900000,1064990200000,1064990200000,193102300000,198362900000,2118229300000,2089046000000.0,,21442500000.0,21442500000.0,5379200000.0,,29384000000.0,139923500000,10694000000,,1554770250000,758352800000,193027800000,,,119488000000,815266900000,20764200000.0,610071000000.0,119488000000.0,,753631900000,348490958000,205196000000.0,2168286553000,,1887802900000,259303800000,5186076091
2022-03-31,TWD,3992676667000,1722237632000,1151589646000,1151589646000,200118682000,213486066000,2270439035000,2104331000000.0,,20115420000.0,20115420000.0,5504631000.0,,45736843000.0,145664807000,11378431000,,1671207913000,822867707000,171568695000,,,144550897000,848340206000,21065933000.0,629650000000.0,144550897000.0,,798354765000,419054983000,184103733000.0,2314430096000,-872000000.0,2038261537000,259317675000,5185966800
2022-06-30,TWD,4345941335000,1905866396000,1253189197000,1253189197000,217438091000,224587295000,2440074939000,2282612319000.0,,21551737000.0,21551737000.0,5657256000.0,,64440492000.0,197051641000,13600172000,,1835479210000,845240981000,218514033000,,,115584794000,990238229000,22510412000.0,757208596000.0,115584794000.0,,895303802000,449078371000,201065286000.0,2496353192000,,1844911241000,259303805000,5185833400
2022-09-30,TWD,4643301766000,2014232358000,1296012784000,1296012784000,218335874000,261614451000,2629069408000,2453839994000.0,,20771747000.0,20771747000.0,5934805000.0,,75795898000.0,222922889000,10552495000,,1890985607000,807431287000,219927774000,,,23426667000,1083554320000,30182353000.0,845441649000.0,,,899050669000,587503513000,197960667000.0,2737974306000,,2066562035000,259303805000,5185833000
2022-12-31,TWD,4964778878000,2052896744000,1342814083000,1342814083000,221149148000,231408820000,2911882134000,2735751106000.0,,20207334000.0,20207334000.0,5791821000.0,,68930000000.0,243686042000,13838651000,,2004290011000,944226817000,268379300000,,,-742758501000,1060063194000,29764097000.0,839096486000.0,19313889000.0,,888174472000,463849538000,180850137000.0,2945653195000,,2637524688000,259303805000,5186076000
2023-03-31,TWD,5045844348000,1995727521000,1385232810000,1385232810000,216067981000,148124287000,3050116827000,2833397000000.0,,18544532000.0,18544532000.0,5752307000.0,,69913622000.0,229098333000,16343714000,,1952946750000,873089921000,203676992000,,,8040000000,1079856829000,29984875000.0,848638000000.0,8040000000.0,,884770024000,669412929000,185758498000.0,3078233958000,,2773288070000,259320710000,5185875200
2023-06-30,TWD,5149465000000,1959964000000,1276724000000,1276724000000,234333000000,191027000000,3189501000000,2988828403000.0,,18001489000.0,18001489000.0,5848444000.0,,94610000000.0,213232000000,44648000000,,1943997000000,810829000000,189726000000,,,8126000000,1133168000000,29734633000.0,901710000000.0,8126000000.0,,945182070000,568583802000,231458000000.0,3188750000000,,2542570000000,259321000000,5185883000
2023-09-30,TWD,5484556381000,2082477636000,1311806535000,1311806535000,262090072000,222906273000,3402078745000,3173919078000.0,,17405834000.0,17405834000.0,6004735000.0,,116350000000.0,266268741000,19221060000,,2111738274000,970034816000,282999749000,,,7420132000,1141703458000,29415325000.0,937492473000.0,7420132000.0,,974327930000,27012318000,165967433000.0,3348349657000,,2682157537000,259320710000,5185871600
2023-12-31,TWD,5532371215000,2194032910000,1465427753000,1465427753000,250997088000,202010236000,3338338304999,,,16970306000.0,16970306000.0,5796438000.0,,129267600000.0,222340989000,53256844000,,2049108368000,913583316000,57293057000,,,12103817000,1135525052000,28681800000.0,918282800000.0,9293300000.0,,959068460000,789783899000,179249400000.0,3458913627000,,2882595798000,259320710000,5186414200
2024-03-31,TWD,5787891082000,2452767394000,1698195704000,1698195704000,267123338999,202059004000,3335123688000,,,16272753000.0,16272753000.0,5966172000.0,,138468577000.0,224590061000,60799286001,,2122174828000,1026180079000,183604226000,,,-59986358000,1095994749000,28467310000.0,965560274000.0,12500151000.0,,1009462421000,615421769000,94223410000.0,3635731930000,,2991108865000,259336292000,5186000000
2024-06-30,TWD,5982364014000,2591658093000,1799127351000,1799127351000,272490587000,210210419000,3390705921000,,,16397484000.0,16397484000.0,6033115000.0,,140219465000.0,249392491000,60192825000,,2162215809000,1048915679999,199507410000,,,25696321000,1113300129001,28221881000.0,974343663000.0,23075426000.0,,997422613000,669678864999,102975027000.0,3791402874000,,3438674715000,259336292000,5186162400
2024-09-30,TWD,6165660000000,2710450000000,1886781000000,1886781000000,292880000000,249970000000,3198930000000,3111298076000.0,,16165607000.0,16165607000.0,5917424000.0,,127330000000.0,280819000000,2480057468000,,2143740000000,1080400000000,70820000000,,,58806858000,1063340000000,28208721000.0,936160000000.0,,,936160000000,1080400000000,127180000000.0,3993174669000,,3346232000000,259327000000,5186076048
2024-12-31,TWD,6691938000000,3088352000000,2127627000000,2127627000000,287869000000,272088000000,3603586000000,3275108461000.0,,20211600000.0,20211600000.0,6070900000.0,,149040000000.0,294392000000,106376000000,,2368362000000,1264525000000,74227000000,,,59858000000,1103837000000,28755300000.0,926604000000.0,59858000000.0,,986462000000,1130440000000,177233000000.0,4288545000000,,3917252000000,259327000000,5185800000
2025-03-31,TWD,7133287420000,3345663882000,2394804250000,2394804250000,293387615000,243949574000,3787623538000,3442109570000.0,,19320140000.0,19320140000.0,6130203000.0,,160793296000.0,367764302000,45758141000,,2531662963000,1399802998000,274724329000,,,59857900000,1131859965000,29121821000.0,986983899000.0,,,1016105720000,907745670000,106407135000.0,4564162580000,,3851130370000,259326155000,5185800000
2025-06-30,TWD,7006349549000,3264917475000,2364524340000,2364524340000,304193716000,238252943000,3741432074000,3430064270000.0,,19127165000.0,19127165000.0,5580129000.0,,137426767000.0,319107864000,38838612000,,2389717699000,1377314334000,244911589000,,,97939826000,1012403365000,31363997000.0,883671102000.0,,,915035099000,949518365000,88058268000.0,4581073975000,,4119740394000,259326155000,5185800000
2025-09-30,TWD,7354107076000,3436015312000,2470759384000,2470759384000,288689063000,307871434000,3918091764000,3542609617000.0,,19790940000.0,19790940000.0,5767108000.0,,148980000000.0,280274996000,88419102000,,2318529274000,1275906624000,259855651000,,,76226000000,1042622650000,30978996000.0,918228256000.0,,,949207252000,1016050973000,84147126000.0,4998306972000,,4260828797000,259325245000,5186000000
2025-12-31,None,7910679587000,3806379545000,2760059967000,2760059967000,287298500000,280997298000,4104300042000,,,,,,,,299890932000,178132848000,,2465265640000,1453912296000,84092473000,,,136540330000,1011353343000,,,,,990356650000,1233279493000,,5404330990000,,4691817547000,258594577000,5186200000
