fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-03-31,TWD,227815706000,,,,,100900318000,249809419000,,-17214161000.0,,-244251414000,14618457000,,,,,64825951000,64825951000,,,,,,,,,155064389000
2021-06-30,TWD,187439494000,,,,,103805182000,170513981000,,-15871139000.0,,-169750986000,75030643000,,,,,64825951000,64825951000,,,,,,,,,149375511000
2021-09-30,TWD,318706000000,,,,,107027000000,188640000000,,-11795045000.0,,-177020000000,-35324000000,,,,,64826000000,64826000000,,,,,,,,,173852000000
2021-12-31,TWD,378200000000,,,,,110663000000,235556000000,,-10868569000.0,,-245343000000,82283000000,,,,,71308547000,71308547000,,,,,,,,,184819000000
2022-03-31,TWD,372169688000,,,,,111102063000,262717722000,,-7016361000.0,,-288073791000,-19086188000,,,,,71308546000,71308546000,,,,,-871566000.0,,,,226831696000
2022-06-30,TWD,338849429000,,,,,113224647000,220945293000,,-17319409000.0,,-275932106000,19080454000,,,,,71309000000,71309000000,,,,,-871566000.0,,,,265998281000
2022-09-30,TWD,412698167000,,,,,105345666000,267635828000,,-897783000.0,,-284390325000,-130406753000,,,,,71308546000,71308546000,,,,,-871566000.0,,,,316690867000
2022-12-31,TWD,486880000000,,,,,107581924000,336800000000,,-2813247000.0,,-336800000000,-65500000000,,,,,71308546000,71308546000,,,,,-34000.0,,,,334551356000
2023-03-31,TWD,486880000000,,,,,107581924000,336800000000,,-2813247000.0,,-272231795000,-65500000000,,,,,71300000000,71300000000,,,,,-34000.0,,,,334551356000
2023-06-30,TWD,167248000000,,,,,123939000000,250534000000,,-18264968000.0,,-531558000000,-26589000000,,,,,71309000000,71309000000,,,,,0.0,,,,214675000000
2023-09-30,TWD,847138000000,,,,,381543000000,779657000000,,-27757123000.0,,-773801000000,-129527000000,,,,,213926000000,213926000000,,,,,0.0,,,,700890000000
2023-12-31,TWD,404331237000,,,,,150648430000,124759287000,,11092984000.0,,-147246548000,-69374322000,,,,,77796213000,77796213000,,,,,0.0,,,,238712143000
2024-03-31,TWD,436311108000,,,,,159023162000,181304802000,,-16126251000.0,,-159806991000,-71685617000,,,,,77796213000,77796213000,,,,,-3089000000.0,,,,266543204000
2024-06-30,TWD,377668210000,,,,,165166594000,205674684000,,-5367248000.0,,-197607330000,-90244583000,,,,,90762248000,90762248000,,,,,-3089177000.0,,,,306310575000
2024-09-30,TWD,391992467000,,,,,168229000000,207903818000,,-20393343000.0,,-195509921000,-83638287000,,,,,90762539000,90762539000,,,,,177000.0,,,,325258000000
2024-12-31,TWD,620205000000,,,,,170378000000,361949000000,,5015142000.0,,-311919000000,-100732000000,,,,,103734000000,103734000000,,,,,177000.0,,,,374680000000
2025-03-31,TWD,625570000000,,,,,170378000000,330830000000,,-5518805000.0,,-290192426000,-84665592000,,,,,103720000000,103720000000,,,,,-23000.0,,,,361564000000
2025-06-30,TWD,497064085000,,,,,188057912000,299562606000,,-10806101000.0,,-228488307000,-119700601000,,,,,116697300000,116697300000,,,,,0.0,,,,493035204000
2025-09-30,TWD,426829000000,,,,,162787271000,287452000000,,15504653000.0,,-259752000000,-128294000000,,,,,116697000000,116697000000,,,,,0.0,,,,525369023000
2025-12-31,USD,741728462000,,,,,163644120000,353555370000,,,,-389670183000,-100932535000,,,,,128410346000,128410346000,,,,,,,,,510523784000
