fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-03-31,TWD,189839430000,362474441000,172635011000,172635011000,157120174000,6387572000,29940412000,205354267000,,688809000.0,1956000000,768582000.0,,,,100900318000,161107361000,18282837000,,139738749000.0,,150812578000,258093854000,142766434000
2021-06-30,TWD,186196818000,372145122000,185948304000,185948304000,145667205000,7826613000,30873376000,226477917000,,294282000.0,1466000000,1134399000.0,,,,103805158000,149391075000,14909359000,,134481716000.0,,145667205000,252556021000,134358942000
2021-09-30,TWD,212746243000,414643431000,201897188000,201897188000,171003543000,7826613000,30873376000,243639888000,,22481000.0,1536000000,1134399000.0,,,,107026739000,149391075000,14909359000,,201164203000.0,,148750839000,252556021000,134358942000
2021-12-31,TWD,230678922000,438189000000,207510078000,207510078000,182771954000,15639000000,32239000000,255417046000,,-712000000.0,939000000,712000000.0,,,,110663000000,184819000000,18446000000,,166373515000.0,,183966000000,294629000000,166232000000
2022-03-31,TWD,273203166000,491075873000,217872707000,217872707000,223790118000,10500027000,32239000000,267285755000,,-466887000.0,1259000000,2140766000.0,,,,111102063000,184819211000,18446000000,,202873374000.0,,223790000000,168433237000,166232291000
2022-06-30,TWD,315467994000,534140808000,218672814000,218672814000,262123749000,11568594000,39649130000,272017059000,,641714000.0,3545945000,2904231000.0,,,,113224647000,265998281000,28818029000,,237180252000.0,,262123749000,381426917000,237027317000
2022-09-30,TWD,370498717000,613142743000,242644026000,242644026000,310324214000,14499002000,42977507000,302818529000,,3245026000.0,6615044000,3370018000.0,,,,105345666000,316690867000,35722460000,,280968407000.0,,310324214000,424381386000,280865780000
2022-12-31,TWD,389183047000,625530000000,236346953000,236346953000,324644923000,16957177000,44587023000,300885077000,,7252347000.0,9486470000,3334985000.0,,,,107581924000,295904000000,62278689000,,295900000000.0,,324644923000,-64540000000,233625311000
2023-03-31,TWD,286500392000,508632973000,222132581000,222132581000,231238157000,16957177000,44587023000,277394816000,,10654132000.0,11693000000,3334985000.0,,,,110322641000,295904000000,37325895000,,206949036000.0,,231238157000,357561258000,233625311000
2023-06-30,TWD,260200000000,480841000000,220641000000,220641000000,201958000000,14163389000,41665000000,278883000000,,10667000000.0,11801000000,3005155000.0,,,,123939000000,214675000000,32958000000,,181717000000.0,,201958000000,325897000000,181799000000
2023-09-30,TWD,296643000000,546733000000,250090000000,250090000000,228065000000,17571000000,51137762000,318668000000,,12483352000.0,13650000000,3111922000.0,,,,147280162000,241940000000,31145000000,,241940000000.0,,228065000000,228065000000,211000000000
2023-12-31,TWD,331768000000,625529000000,293761000000,293761000000,260205000000,18235339000,50410000000,71563000000,,14490150000.0,17408787000,2918637000.0,,,,150648000000,278281000000,39974000000,,251566384000.0,,260205000000,410853000000,238712000000
2024-03-31,TWD,314505269000,592644201000,278138932000,278138932000,249018306000,16137086000,46108936000,65486963000,,16660917000.0,19359172000,2698255000.0,,,,159023162000,266543204000,41321941000,,225485000000.0,,269241459000,428264621000,225484877000
2024-06-30,TWD,358124478000,673510177000,315385699000,315385699000,286555542000,19290282000,48057704000,71568936000,,18341093000.0,20979233000,2638140000.0,,,,165166594000,306310575000,58649137000,,247845000000.0,,308948715000,474115309000,247845528000
2024-09-30,TWD,439345666000,759692143000,320346477000,320346477000,360766289000,22890591000,52783826000,78579377000,,19965864000.0,22601654000,2635790000.0,,,,168228557000,384186852000,59106682000,,384187000000.0,,386822642000,555051199000,325257571000
2024-12-31,TWD,512379000000,868461000000,356082000000,356082000000,425713000000,25427009000,57232000000,86666000000,,21750000000.0,24273341000,2523215000.0,,,,170378000000,448798000000,74329000000,,374469000000.0,,425713000000,596091000000,374680000000
2025-03-31,TWD,493395000000,839254000000,345859000000,345859000000,407081000000,24883748000,56547493000,86314268000,,22182038000.0,24859312000,2677274000.0,,,,163411731000,430895000000,70162751000,,360732661000.0,,428217726000,591629457000,361564128000
2025-06-30,TWD,547369000000,933792000000,386423000000,386423000000,463423000000,18955373000,61280000000,83946000000,,21500903000.0,22723000000,3691095000.0,,,,363197000000,493036000000,95543000000,,398273000000.0,,493036000000,856233000000,398273000000
2025-09-30,TWD,588543000000,989918000000,401375000000,401375000000,500685000000,20048234000,63743000000,87858000000,,23221777000.0,26180345000,98843000.0,,,,162787000000,525369000000,73614000000,,525369000000.0,,525369000000,688156000000,452302000000
2025-12-31,USD,658148926000,1055976591000,397827665000,397827665000,569125442000,23333000000,65469963000,89023483000,,,27946000000,,,,,163644120000,597961420000,87768736000,,,,596464403000,760108523000,510523784000
